genes,APC1320ko,RKO_CM,RKO_RSPO1mut_CM,WTko,APC1320_CRISPRa,WT_CRISPRa
A1BG,0.540800443,0.262891292,0.230139168,0.643486561,1.288516052,0.219957274
A1CF,-0.291027967,-0.577955121,-0.444903117,-0.12249635,-0.38939326,-0.502309576
A2M,-0.690919168,0.185502631,0.34464104,-0.117680014,0.12208418,-0.055311367
A2ML1,-1.056703618,-0.429246964,-0.319831793,-0.264218013,-0.077756228,-0.041328973
A3GALT2,-0.99219634,0.368093237,-0.128234382,0.236809878,0.245180919,-0.463805419
A4GALT,0.418187795,0.16339942,-0.220335702,0.620521973,-0.039990623,0.038694508
A4GNT,-0.315880556,-0.092384655,-0.166561828,0.003408146,-0.044163906,-0.228167099
AAAS,-0.345017141,-0.674318678,0.052295928,0.156836021,0.310597075,0.304338058
AACS,0.301198968,-0.066325742,-0.296808511,-0.217184603,0.259482313,0.113500929
AADAC,-0.102067801,-0.181486354,0.083126084,0.352602278,-0.4363398,-0.607694908
AADACL2,0.580270192,0.234430258,0.440116379,0.044784948,0.768960445,0.040589032
AADACL3,-0.309752713,0.479611337,0.470774676,-0.227506421,0.039146792,0.230471186
AADACL4,-0.003321974,-0.576942854,0.112800902,0.324636241,0.371123537,0.16725729
AADAT,0.455818815,-0.433120004,-0.107390767,-0.191463887,-0.986118748,-0.869905902
AAED1,0.190598843,-0.832425277,-0.106278948,-0.667259069,0.400920726,0.211542562
AAGAB,-0.601507053,-0.004314701,1.106478891,-0.059564311,-0.605126916,0.175355239
AAK1,-0.059181308,0.653104007,-0.094984601,0.021834584,0.466326049,0.105880635
AAMDC,0.053831442,-0.056759307,0.416558599,0.37650239,0.164242625,0.15465396
AAMP,-0.880993097,1.444800381,1.38519922,2.355913526,0.013251542,0.481829913
AANAT,0.144023961,-0.277748555,-0.088826732,-0.397056011,-0.397317392,-0.120084281
AAR2,-0.04669388,-0.121833215,0.239721364,-0.495694142,-0.290976486,0.03398872
AARD,-0.595314655,-0.776746022,-0.257855309,-0.367831414,0.509210309,0.196665822
AARS,-0.153814861,0.971743633,2.287007281,3.02796577,-0.085014882,-0.163450495
AARS2,-0.232261387,0.380144375,-0.351174692,0.021957918,0.332697009,-0.034277483
AARSD1,0.076233255,0.312970604,0.417610628,0.080898441,0.340039664,-0.241694309
AASDH,0.065226295,0.191901566,0.361686679,0.433980513,0.247906224,0.488434866
AASDHPPT,0.516175465,1.184829793,1.818090727,1.632761806,-0.353159353,-0.065358698
AASS,0.240884006,0.017391611,-0.467112217,-0.421314684,0.176813812,0.217962076
AATF,0.679861445,1.090646661,1.462090777,2.30007065,0.370926794,0.67306497
AATK,0.454898595,-0.169242275,0.144929969,-0.244803848,-0.113862786,0.208067453
ABAT,-0.214860714,-0.205408534,0.088062143,-0.31495381,0.473040081,0.012211857
ABCA1,-0.395188573,-0.239019479,-0.403182815,-0.537460806,0.031047559,-0.489810448
ABCA10,0.196985241,0.110462123,-0.11487103,-0.10609833,-0.138910068,0.037197892
ABCA12,-0.144580225,0.629931217,1.091850119,0.05602645,0.380432737,-0.028662204
ABCA13,-0.121678505,0.018437744,-0.234635813,0.163486379,0.269052758,-0.261019934
ABCA2,0.333955732,-0.074001401,-0.488424069,-0.303035766,-0.38697056,-0.012900957
ABCA3,-0.315622023,-0.555371803,-0.884922571,-0.659282488,0.673097603,1.044685323
ABCA4,-0.313652111,0.066881884,0.533604246,0.139558035,0.263148541,-0.240997511
ABCA5,0.07076865,0.109435705,0.161521083,-0.08404163,0.313079112,0.071079129
ABCA6,0.347301472,0.102241497,-0.354696607,0.190248661,-0.119384585,-0.030469301
ABCA7,-0.52832899,-0.377816757,-0.107040155,-0.274919738,-0.408723866,-0.28974945
ABCA8,-0.182483463,0.350470107,0.847029476,0.619557546,0.167784539,-0.18701432
ABCA9,0.640945324,-0.032631623,-0.085870638,-0.176256279,0.458599508,0.446906232
ABCB1,0.403164576,-0.419250145,-0.143517258,-0.351151034,0.941153857,0.583314975
ABCB10,-0.172646079,0.14644925,0.357367088,0.240006092,0.399208209,0.963674061
ABCB11,0.30831829,0.450758271,0.239713305,-0.42923831,3.50E-05,-0.177968719
ABCB4,-0.228073966,-0.685467012,-0.065039084,-0.496494864,0.014975449,-0.375608568
ABCB5,0.718978381,0.077216836,-0.578636655,0.125610271,-0.79483159,-0.268945956
ABCB6,0.111597865,0.432333761,0.301316143,0.792566399,0.131340187,0.80673364
ABCB7,-0.456540101,0.440941713,0.234651886,0.608541708,-0.067837788,-0.061395412
ABCB8,0.622542266,-0.592696641,-0.729902168,-0.750151475,0.329064527,-0.068758603
ABCB9,-0.126889317,-0.969271615,-0.244011864,-0.544726957,1.008207244,-0.130350432
ABCC1,0.074925492,-0.121486922,0.029092723,-0.083032888,-0.102372401,-0.000776121
ABCC10,0.70305973,-0.121953773,0.260383899,0.367732064,-0.253599771,-0.405884508
ABCC11,0.092170355,-0.042017367,-0.023475842,-0.205349664,-0.366581374,0.178116761
ABCC12,1.189799554,0.055490234,-0.427337461,-0.560659335,-0.006495998,0.394269503
ABCC2,0.063861458,0.010874359,0.078924211,-0.042132186,-0.150613481,0.243477539
ABCC3,0.42876856,-0.120896743,-0.116110344,0.00883175,-0.493366734,0.299575867
ABCC4,1.579659235,-0.181508109,-0.568211129,0.330477896,0.239250946,0.07187571
ABCC5,0.351583418,-0.235649133,-0.437632651,-0.135824529,0.189669347,0.10188636
ABCC6,-0.719454995,0.040372912,0.027835193,0.080576834,-0.07729343,-0.625760656
ABCC8,0.213274762,-0.020139806,0.288025036,0.130066113,0.230117084,0.224454946
ABCC9,0.161889355,0.217902564,0.44114659,-0.244678612,-0.616806319,0.083265101
ABCD1,0.811712095,0.448702901,0.087179338,0.756734146,0.486921376,-0.565313342
ABCD2,0.041545285,0.285904317,0.516301192,0.33328727,0.803119595,0.304976869
ABCD3,-0.007048264,0.394878155,0.521422064,0.166593719,-0.319639409,0.175849386
ABCD4,-0.009543149,0.101103858,-0.225762752,-0.249586785,-0.209330492,0.154615229
ABCE1,-0.045133321,-0.240378577,-0.097003979,0.805638715,0.406022871,0.602141751
ABCF1,1.270465773,2.059233499,1.828186108,2.759621275,-0.15215198,0.507721947
ABCF2,-0.469942509,-1.430398187,-1.662634057,-2.057305865,0.675821685,-0.200578271
ABCF3,-0.156467585,0.295799317,-0.170723605,-0.499190364,0.019817858,0.184123802
ABCG1,-0.06333262,-0.364730614,-0.640323317,-0.053149672,0.569319936,-0.399472414
ABCG2,0.030635089,0.04631088,-0.196605955,0.232923267,0.251907613,-0.130563209
ABCG4,0.107058478,-0.032202708,-0.046908266,-0.028436875,0.373901387,-0.291655053
ABCG5,0.587239633,-0.429016201,-0.298195075,-0.009080483,0.368690263,0.733532119
ABCG8,0.093726983,-0.113689108,0.033360813,-0.275638028,0.319787818,-0.54844289
ABHD1,0.287094075,-0.091682354,-0.158322952,-0.268975902,-0.13090975,0.465693648
ABHD10,-0.198242759,-0.316778548,-0.146761938,0.176157429,-0.964878239,-0.450126004
ABHD11,-0.039605585,-0.26231284,-0.382936639,-0.548869103,-0.407875517,-0.439430548
ABHD12,0.935198407,-0.44200897,-0.133694077,0.615612389,-0.203445082,0.286152155
ABHD12B,0.533693509,-0.20794067,-0.494851766,0.068201172,0.121539038,0.410083641
ABHD13,0.077946772,-0.296492503,-0.133314776,-0.187461424,-0.789014748,-0.437214119
ABHD14B,0.481271905,0.357473666,0.443436916,0.396159532,0.199690364,-0.2189881
ABHD15,0.014210874,-0.966958306,-0.548448216,0.178860194,0.241518208,0.366624352
ABHD16A,0.440073429,-0.337935222,0.339609692,-0.389351045,-0.490307687,-0.667297795
ABHD16B,-0.491700453,-0.144014361,0.29186769,-0.467187149,-0.527123933,-0.241297036
ABHD17A,-0.182360584,-0.618145327,-0.940653144,-1.220031889,0.011799597,-0.226018757
ABHD17B,-0.652053103,-0.486643782,-0.810962088,-0.438820703,0.157586072,0.089751698
ABHD17C,0.263306182,-0.030568069,-0.235575892,0.107201769,-0.004804922,-0.651575075
ABHD2,0.284989655,0.080899506,0.456812941,0.211891048,-0.095689567,0.385706055
ABHD3,-0.260225095,0.219591164,-0.265811171,-0.475777616,-0.513896598,-0.113485855
ABHD4,0.733420354,-0.078546274,-0.043142049,0.11690537,-0.230271038,0.979153271
ABHD5,-0.03265663,0.318308038,-0.300637752,0.066382568,-0.000740349,-0.115795773
ABHD6,0.24937731,-0.068260074,0.212406022,0.262149379,-0.403497298,-0.583448795
ABHD8,-0.532296436,-0.814248756,-0.362962178,-0.714698013,-0.791137339,-0.386096471
ABI1,-0.524294291,0.557317991,0.890128306,0.175291449,0.084640884,0.542048664
ABI2,-0.038624159,0.141781076,0.359166069,0.483120785,0.250559656,0.300444131
ABI3,-0.195602975,0.375143325,-0.027534837,-0.077713203,0.194391034,0.112733352
ABI3BP,0.202027047,-0.046020109,-0.096424037,0.780802464,0.222036683,0.091897576
ABL1,-0.09484399,-0.051023263,-0.547539082,-0.044471527,0.276137016,0.218703051
ABL2,0.591911379,0.958855201,-0.010678824,0.276842446,-0.22171495,0.30063207
ABLIM1,-0.196195608,0.255910294,0.313907907,0.016979535,-0.049363937,-0.190462385
ABLIM2,0.523046915,-0.382736854,-0.025045872,0.06116957,0.217254044,-0.394927806
ABLIM3,-0.008180289,0.117025817,0.339971252,-0.006475523,0.623274347,0.859861312
ABO,-0.048646044,-0.402167203,-0.115345454,0.080582887,0.235828404,0.124083666
ABR,-0.5444335,-0.114828439,-0.010471717,0.308465731,-0.376003358,0.44007979
ABRA,-0.370617595,-0.504643589,0.127641687,-0.598354326,0.201585962,-0.071602389
ABRACL,0.078745098,0.201173983,-0.334949371,0.16161318,0.024512018,0.199872279
ABT1,-0.056617006,1.078184159,0.888056164,1.31975609,0.119480118,-0.033250512
ABTB1,0.021314812,0.302611514,0.351196622,-0.607040685,0.343957016,0.282149264
ABTB2,0.139031432,0.361056158,0.406561325,0.390328926,1.38042917,0.550512546
ACAA1,-0.299126703,0.087445315,-0.322190859,0.084139931,0.329404113,-0.797379879
ACAA2,-0.891684671,0.369748156,0.109369888,0.230182873,1.25626132,0.379697965
ACACA,0.833171111,-0.375447484,2.246267034,1.00260976,-0.218392893,-0.138459848
ACACB,0.268088745,0.105757631,0.086244948,-0.988480814,0.392551234,0.572236702
ACAD10,0.578133214,0.130787776,0.184623429,-0.413383156,-0.118720349,0.507516474
ACAD11,-0.178638833,0.025437547,0.131981464,0.121760597,-0.329707032,-0.850071853
ACAD9,0.079573927,0.033926897,0.199429337,0.487884094,0.424863665,0.472435768
ACADL,0.038286026,0.125194376,0.158428997,0.219406131,0.354314663,0.345028977
ACADM,-0.457626249,-0.149545807,0.361805738,0.468971394,-0.212760711,0.175818576
ACADS,0.09860351,-0.069232673,-0.418937054,-0.35668847,0.790218229,0.591883069
